Term in English,# Of Translations,Term in Tagalog,Example Prompt, # of Occurrences of the Word Pair 
enter,16,ilagay,"Enter the volume, in cubic centimeters, of the completed rectangular prism.","1,117"
enter,16,ikabil,Enter your answer in the response box.,157
enter,16,sumrek,Enter an expression equivalent to (3xy2)(2x2y4)(3 x y^2)(2 x^2 y^4) in the form axmyn.,61
enter,16,ipasok,Enter the number of rocks Tim collects.collects.,51
enter,16,ipan,Enter each answer in a separate response box.,39
enter,16,maglagay,"Enter an equation that can be used to find p, the total number of packs Lamar needs to buy.",35
enter,16,iserrek,Enter an equation in the form y=mx+b y'='m x'+'b that represents the function defined by this table of values.,27
enter,16,pumasok,"Enter Sammy's weight, in grams.",7
enter,16,magpasok,Enter an equation using b and c to show that twice as many choir members as band members performed at the music competition.,6
enter,16,agikabil,Enter another fraction that is equivalent to 12.,2
enter,16,tama,"Enter an equation for which the solution is the speed of a car, in miles per hour, where the car is 325 miles from its starting point and has traveled for 5 hours.",1
enter,16,sino,"Enter the volume, in cubic centimeters, of the rectangular prism.",1
enter,16,sa pagitan ng,Enter the number.,1
enter,16,na gagawing,Enter the unknown numbers that make each equation true.64÷8=□64. Enter one number in each response box.,1
enter,16,magkano,"Enter how much the instructor earns, in dollars, per class after the raise.raise.",1
enter,16,ilagay  ipasok,Enter the percent of money still left in her savings account.,1
select,9,piliin,"Select all equations that can be used to determine how much more money, m, Nathan must save to buy the bike.",960
select,9,pilien,Select the two statements that explain why Daniel’s claim is false.,140
select,9,pumili,Select all expressions equivalent to 6x−24.,35
select,9,agpili,Select all graphs which are graphs of functions.,21
select,9,pilyen,Select allcases in which lee’s claim is true.,13
select,9,pillin,"Select the graph that correctly represents the total cost of computer paper, y, at $9 per pack, x.",8
select,9,mga bead,Select the equation that generalizes the properties of exponents that can be used to solve each of these equations for nonzero integers b and k.,7
select,9,piliiin,Select yes if the box represents an unknown number that is greater than 1 and less than 2. Select no if it does not.,1
select,9,ikabil,Select all the statements that explain why Sarah is not correct.,1
each,14,bawat,Select true or false for each statement about the graph.,529
each,14,kada,"For each entry in the table, determine if the example supports or does not support Lameisha's claim.",55
each,14,ang bawat,Determine whether each equation in the table represents the graph of the function shown. Select yes or no for each equation.,34
each,14,tunggal,Enter the number of times each student's car finished in second place.,26
each,14,bawat isa,Figure a and figure b each represent one gallon of paint.,25
each,14,pumili,He gives each friend the same number of apples. How many apples does sam give to each friend?,2
each,14,nakakuha,Enter the unknown numbers that make each equation true. Enter one number in each response box.,2
each,14,ay kapwa,Marie and Ava are each eating a candy bar.,2
each,14,tumunggal,The diameter of each tennis ball is 2.8 inches.,1
each,14,totoo,Each sandwich includes 1 slice of cheese.,1
each,14,parehong,The bottom chord of each roof truss will be 18 feet long.,1
TRUE,21,tama,Select true or false for each statement about the pattern.,467
TRUE,21,totoo,Enter the unknown number that makes the equation true.,121
TRUE,21,wasto,"Select the appropriate box to identify each statement as always true, sometimes true, or never true.",33
TRUE,21,umiso,Select true or false for each statement.,33
TRUE,21,agpayso,Select true or false to indicate whether each comparison is true.,18
TRUE,21,paypayso,For which values of x is each statement true?,16
TRUE,21,usto,What unknown number makes this equation true?,7
TRUE,21,agpaypayso,"Determine which of the statements about absolute value are never true, sometimes true, or always true.",7
TRUE,21,tunggal,"Determine which of the statements about absolute value are never true, sometimes true, or always true.",1
TRUE,21,tama  agpayso,Enter the unknown numbers that make each equation true.,1
TRUE,21,saan a pulos agpaypayso,Select whether each statement is true or false about the given functions.,1
TRUE,21,saan a pulos a pudno,"Determine which of the statements about absolute value are never true, sometimes true, or always true.",1
TRUE,21,sa bawat,"Determine which of the statements about absolute value are never true, sometimes true, or always true.",1
TRUE,21,pudno,Enter the unknown number that makes the equation true.,1
TRUE,21,no dadduma pudno,"Determine which of the statements about absolute value are never true, sometimes true, or always true.",1
TRUE,21,no dadduma agpaypayso,"Determine which of the statements about absolute value are never true, sometimes true, or always true.",1
TRUE,21,nagpapawasto,What unknown number makes this equation true?,1
TRUE,21,kanayon nga agpaypayso,What unknown number makes this equation true?,1
which,15,aling,"Which expression could be used to correctly determine the amount of time, in hours, that remains for the rest of his homework?",288
which,15,alin,Which statement correctly responds to Kayla's two methods?,266
which,15,ania,"Which equation can be defined by the function, y=−4x−8?",84
which,15,aniada,Which equation of f(⁡x) reveals the minimum or maximum value of f⁡(x) without changing the form of the equation?,33
which,15,anong,Which range contains the value of 520+9 ?,11
which,15,ano,Which number is a multiple of both 4 and 6?,4
which,15,ania kadagiti,Which statement (s) must be true for Preston's claim to be true?,3
which,15,ania iti,Which person is correct and why?,3
which,15,iserrek,Andrea surveyed 100 students about which candidate they were going to vote for in an upcoming election.,2
which,15,inya,Select all the expressions that could be ways in which the original expression is rewritten.,2
which,15,sinong,A school had a contest to see which grade could bring in the most empty juice boxes in one week.,1
which,15,kung sinong,Which equations can be used to find the number of books Jon still needs to pack?,1
all,10,lahat,Select all expressions equivalent to −84x−28.,355
all,10,amin,Click all of the shapes that are pentagons.,80
all,10,ang lahat,"Enter the amount of water, in liters, the teams drank in all.",46
all,10,itaas,Lucy puts all of the pencils in the 3 boxes.,2
all,10,na mukhang,Select all the equations that can be solved to find how much money Patty has left.,1
statement,12,pahayag,Which statement(s) must be true for Preston's claim to be true?,264
statement,12,sasao,Which statement must be false?,45
statement,12,pagsasao,Select the statement that correctly describes the domain of the function.,24
statement,12,statement,Four students make statements about the equation shown.,5
statement,12,sarita,Select a single transformation that could have been performed on triangle A to create triangle B to prove Michelle’s statement is false.,3
statement,12,sinabi,"Consider this data: 8,11,13,12,9,16,8,10,15. Determine if each statement is true or false.",1
statement,12,sa pahayag,Match each set of values for a and b to the statement that correctly describes them.,1
statement,12,panagsasao,Select the statement about the values of j that describes Emily’s claim.,1
what,11,ano,"What is the cost of a pack of crayons, in dollars, if all the packs cost the same?",120
what,11,anong,"75x for each letter listed, indicate what the letter represents in the equation Gary wrote.",108
what,11,ania,"When rounding to the nearest ten, what is the least whole number that rounds to 70?",34
what,11,anya,"What is the volume, in cubic inches, of the container?",8
what,11,aling,What fraction of the bag of apples does she eat on Monday and Tuesday?,6
use,12,gamitin,How can Mark use the coordinate plane to determine which is closer?,173
use,12,usaren,The shaded part of figure A shows the fraction of a gallon of red paint Mike used.,54
use,12,gumamit,"Use the add arrow tool to construct line G on the graph so that line C and line G represent a system of linear equations with a solution (4, 0).",12
use,12,gagamitin,Use graph 1 and graph 2 to help you complete the table.,4
use,12,gumagamit,Select all methods the student can use to determine the correct volume of the complete structure.,2
use,12,ginamit,Use this diagram to solve the problem.,2
how many,15,ilang,How many more races did Maria's car finish in second place than in third place?,122
how many,15,ilan,"Based on this ratio, how many of the 300 students would choose a white roll?",58
how many,15,mano,How many fewer students have birthdays in summer than in spring and winter combined?,40
how many,15,ilan ilang,How many fewer tomato plants than bean plants are in the garden?,8
how many,15,kung ilang,How many stamps are there in all?,5
how many,15,kung ilan,How many times can the club go to the skatepark after paying for the equipment for all 20 club members?,4
how many,15,gaano karami,How many insect toys does Martin have altogether?,4
how many,15,gaano karaming,How many stamps are there in all?,3
how many,15,gaano,How many times can the club go to the skatepark after paying for the equipment for all 20 club members?,2
how many,15,manu amin,How many insect toys does Martin have altogether?,1
FALSE,10,mali,Select whether each number makes the comparison true or false. 2×□>2,125
FALSE,10,ulbod,"Steven claims that when dividing fractions such as a/b ÷ c/d, where a, b, c, and d are integers, you can divide out common factors from the numerators and denominators. For example, in the problem 6/7 ÷ 32/1, Steven divides both denominators by 7 and both numerators by 3, resulting in 2/1 ÷ 13, which equals 6. Is Steven's claim true or false? Why?",35
FALSE,10,hindi totoo,"A random survey was conducted to find out what movie type is a person's favorite: action, horror, drama, or comedy. Determine which of the following statements about the data are true or false.",32
FALSE,10,saan a husto,The scatter plot shows the relationship between the number of beverages purchased and the number of bags of popcorn purchased at a theater. The line of best fit is shown. Select true or false for each statement based on the graph.,23
FALSE,10,palso,"The box plots show a summary of the lengths, in inches, of different varieties of flowers Maria and Billy measured. Determine whether each statement is true based on the box plot.",4
FALSE,10,saan nga usto,Select true or false to indicate whether each comparison is true.,3
total,12,kabuuang,Enter the total number of blocks Ethan uses to build the tower.,99
total,12,kabuuan,"It includes: total time that has elapsed, total number of square feet cleaned, and total number of paper towels used.",54
total,12,kabuuan kabuklan,"Include information about total distance, average walking rate, and total time in your response.",14
total,12,dagup,"State how many total chairs there are, and explain why your plan meets these conditions.",11
total,12,amamin,"Enter an equation for the total amount of money charged, t, for the student and adult tickets sold.",6
total,12,kabuklan,Jack estimates the total number of shirts that will fit in the boxes.,5
total,12,sa kabuuan,"Enter an equation that can be used to find s, the total number of students.",4
